id;start_date;end_date;language
1;2020-04-18T15:57:00;2020-04-18T13:47:15;SPANISH
2;2020-04-17T20:47:11;2020-04-18T15:51:36;SPANISH
3;2020-04-18T11:42:30;2020-04-17T22:16:39;FRENCH
4;2020-04-18T03:00:01;2020-04-18T14:31:27;FRENCH
5;2020-04-18T12:30:19;2020-04-18T17:17:18;FRENCH
6;2020-04-18T06:22:40;2020-04-18T18:30:54;FRENCH
7;2020-04-18T08:08:00;2020-04-18T01:58:51;FRENCH
8;2020-04-18T07:04:13;2020-04-18T17:20:21;SPANISH
9;2020-04-18T05:45:22;2020-04-18T02:26:45;SPANISH
10;2020-04-18T13:57:26;2020-04-18T00:31:56;SPANISH
